ST_CASE,MONTH,DAY,DAY_WEEK,HOUR,LATITUDE,LONGITUD,HARM_EV,LGT_COND,WEATHER,VE_FORMS,TRAV_SP,DEATHS,DR_DRINK,VSPD_LIM
122579,10,16,2,0,29.49712222,-81.18978333,42,2,1,1,45,1,0,45
122580,10,18,4,3,29.08431944,-82.25184722,9,2,1,1,95,0,0,50
122581,10,18,4,16,28.21714722,-82.686375,12,1,1,2,15,1,0,30
122582,10,30,2,20,28.22675,-82.73038056,8,2,1,1,30,0,0,30
122583,11,1,4,17,26.64127778,-81.83493889,9,1,1,1,50,0,0,45
122584,10,24,3,17,26.53067222,-80.06983056,12,1,10,3,15,1,0,20
122585,10,29,1,0,28.55066111,-82.50011111,1,3,1,1,50,1,0,50
122586,11,1,4,7,28.20796111,-82.24598889,1,4,1,2,10,0,0,35
122587,11,2,5,6,28.59293056,-81.41410833,8,2,1,1,999,0,0,45
122588,10,20,6,21,27.95744167,-82.53756944,24,2,1,1,998,1,0,50
122589,10,25,4,19,30.45168611,-87.23312222,8,2,1,2,40,0,0,40
